,FacilityName,Violation,DispositionDate,fines,non_alert_disposition_type,license_revoked,alert,Address,City,State,Zip
553,AGRODOLCE,Alcohol Awareness Certified Person Not On Premises,10/08/2018,500.0,setttled,0,1,21030 FREDERICK ROAD J,GERMANTOWN,MD,20876
554,BESTWAY MARYLAND SUPERMKT.,Employee Records Not Available When Requested,05/04/2016,500.0,setttled,0,1,8540 PINEY BRANCH ROAD,SILVER SPRING,MD,20901
555,LA CASITA,Sale To Minor,12/19/2016,1000.0,setttled,0,1,2 EAST DIAMOND AVENUE,GAITHERSBURG,MD,20877
556,PICCA POLLO A LA BRASA,Sale To Minor,01/03/2017,1000.0,setttled,0,1,13000 MIDDLEBROOK ROAD,GREMANTOWN,MD,20874
557,IRENE'S PUPUSAS,Employee Records Not Available When Requested,05/26/2017,500.0,setttled,0,1,12391 GEORGIA AVENUE,SILVER SPRING,MD,20906
558,ROLLINS BEER & WINE,Sale To Minor,12/07/2018,1000.0,setttled,0,1,151 ROLLINS AVE.,ROCKVILLE,MD,20852
559,NEW VILLAGE RESTAURANT,License Not Properly Displayed,09/11/2017,100.0,setttled,0,1,11540 MIDDLEBROOK ROAD,GERMANTOWN,MD,20876
560,COURTYARD BY MARRIOTT - SILVER SPRING,Sale To Minor,03/05/2018,2500.0,setttled,0,1,8506 FENTON STREET,SILVER SPRING,MD,20910
561,FIRE STATION 1,Alcohol After Permitted Hours,07/19/2018,2500.0,setttled,0,1,8131 GEORGIA AVENUE,SILVER SPRING,MD,20910
562,MEZEH MEDITERRANEAN GRILL,Sale To Minor,10/30/2018,1000.0,setttled,0,1,262 CROWN PARK AVENUE,GAITHERSBURG,MD,20878
563,CALIENTE RESTAURANT & BAR,To Intoxicated Patron,04/14/2016,1000.0,hearing,0,0,2442 ENALLS AVENUE,WHEATON,MD,20902
564,SHANGRI-LA,Employee Records Not Available When Requested,01/29/2018,500.0,setttled,0,1,7345 WISCONSIN AVENUE A,BETHESDA,MD,20814
565,BAR LOUIE WHEATON,Sale To Minor,05/09/2017,1000.0,setttled,0,1,11160 VEIRS MILL RD,WHEATON,MD,20902
566,CHIPOTLE MEXICAN GRILL - KENTLANDS,Age Of Employee Violation,09/14/2018,1000.0,setttled,0,1,96 MAIN STREET,GAITHERSBURG,MD,20878
567,THAT'S AMORE,Alcohol Awareness Certified Person Not On Premises,01/17/2019,100.0,setttled,0,1,15201 SHADY GROVE ROAD,ROCKVILLE,MD,20850
568,I ROCK KARAOKE LOUNGE,Records Invoice Violation,07/06/2018,500.0,setttled,0,1,15964 SHADY GROVE RD.,GAITHERSBURG,MD,20877
569,CHARM THAI RESTAURANT,Sale To Minor,01/03/2018,1000.0,setttled,0,1,8408 GEORGIA AVENUE UNIT A,SILVER SPRING,MD,20910
570,RADISSON HOTEL DC,Sale To Minor,02/20/2019,1000.0,setttled,0,1,3 RESEARCH BLVD.,ROCKVILLE,MD,20850
571,NOODLES & COMPANY,Sale To Minor,07/01/2016,2500.0,setttled,0,1,177 KENTLANDS BLVD. SUITE 100,GAITHERSBURG,MD,20878
572,CHOICE MARKET,Employee Records Not Available When Requested,09/13/2018,500.0,setttled,0,1,18700 WALKERS CHOICE RD,MONTGOMERY VILLAGE,MD,20886
573,PARKWAY DELICATESSEN,Sale To Minor,12/22/2017,2500.0,setttled,0,1,8317 GRUBB ROAD,SILVER SPRING,MD,20910
574,REDGATE GOLF COURSE,Alcohol Awareness Certified Person Not On Premises,05/30/2017,100.0,setttled,0,1,14500 AVERY ROAD,ROCKVILLE,MD,20853
575,KAYPI RESTAURANT,Failure To Purchase From Approved Source,10/18/2016,400.0,setttled,0,1,2005 VEIRS MILL ROAD,ROCKVILLE,MD,20851
576,MEZEH MEDITERRANEAN GRILL,License Not Properly Displayed,10/30/2018,100.0,setttled,0,1,262 CROWN PARK AVENUE,GAITHERSBURG,MD,20878
577,CLYDES TOWER OAKS LODGE,Records Invoice Violation,10/20/2017,500.0,setttled,0,1,2 PRESERVE PKWY.,ROCKVILLE,MD,20852
578,OGEI'S CHICKEN & SUBS,Sale To Minor,05/31/2016,0.0,hearing,1,0,293 MUDDY BRANCH ROAD,GAITHERSBURG,MD,20878
579,SARITA'S CHICKEN RESTAURANT,Employee Records Not Available When Requested,07/03/2017,500.0,setttled,0,1,2545 ENNALLS AVENUE,WHEATON,MD,20904
580,P.F. CHANG'S CHINA BISTRO,Sale To Minor,01/30/2018,1000.0,setttled,0,1,5406 WISCONSIN AVENUE B,CHEVY CHASE,MD,20815
581,GENTLEMAN JIM'S RESTAURANT,Alcohol After Permitted Hours,11/09/2017,1000.0,setttled,0,1,18917 EARHART COURT,GAITHERSBURG,MD,20879
582,NOT YOUR AVERAGE JOE'S,License Not Properly Displayed,04/29/2016,100.0,setttled,0,1,239 KENTLANDS BLVD.,GAITHERSBURG,MD,20878
583,WINTHORPE VALENTINE'S COMMUNITY RESTAURANT,Sale To Minor,02/13/2017,1000.0,setttled,0,1,7700 NORFOLK AVENUE,BETHESDA,MD,20814
584,POLLO-MEX,Alcohol Awareness Certified Person Not On Premises,10/14/2016,100.0,setttled,0,1,13436 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904
585,ROSSMOOR LEISURE WORLD,Application - False Information,06/07/2017,1000.0,setttled,0,1,3700 ROSSMOOR BLVD.,SILVER SPRING,MD,20906
586,GREATEST AMERICAN HOT DOGS,Alcohol Awareness Certified Person Not On Premises,12/07/2017,100.0,setttled,0,1,7206 MUNCASTER MILL ROAD,DERWOOD,MD,20855
587,EL AGUILA,Sale To Minor,01/19/2016,1000.0,setttled,0,1,7926 GEORGIA AVENUE,SILVER SPRING,MD,20910
588,JACKIE'S,Sale To Minor,01/27/2016,2500.0,setttled,0,1,8081 GEORGIA AVE.,SILVER SPRING,MD,20910
589,SUPER BOWL NOODLE HOUSE,Alcohol Awareness Certified Person Not On Premises,02/15/2017,500.0,setttled,0,1,785 ROCKVILLE PIKE,ROCKVILLE,MD,20852
590,RESTAURANT POLLOS EL MESON,License Not Properly Displayed,08/02/2018,100.0,setttled,0,1,615 SOUTH FREDERICK AVENUE,GAITHERSBURG,MD,20877
591,VEGETABLE GARDEN,Alcohol Awareness Certified Person Not On Premises,11/13/2018,100.0,setttled,0,1,3830 INTERNATIONAL DRIVE,SILVER SPRING,MD,20906
592,COURTYARD BY MARRIOTT,Sale To Minor,06/20/2016,1000.0,setttled,0,1,204 BOARDWALK PLACE,GAITHERSBURG,MD,20878
593,PACIFICA CAFE,Sale To Minor,10/17/2018,1000.0,setttled,0,1,621 CENTER POINT WAY,GAITHERSBURG,MD,20878
